Queries,,Model,Article1/Ranking,Article2/Ranking,Article3/Ranking,Article4/Ranking,Article5/Ranking,Article6/Ranking,Article7/Ranking,Article8/Ranking,Article9/Ranking,Article10/Ranking,Article11/Ranking,Article12/Ranking,"Non-parametric (Friedman, Nemenyi)"
"The Ministry of Health announced the world's first total advertising ban of packaged drinks with very high sugar content and colour-coded labels indicating drinks as ""healthy"", ""neutral"" and ""unhealthy"" respectively. The labels are compulsory for ""unhealthy"" drinks, while optional for ""healthy"" ones. These measures will take effect from 2020, after a public consultation favouring these two measures out of four possible options.",2,BWE-Agg-IDF,0.6747632504212683,0.34736874249638194,0.32790355801584925,0.5577657700018586,0.2878208728633643,0.568512461177929,0.48694032291150646,0.8114906667212274,0.3138932139056495,0.5952837281970245,0.4148747959755637,0.4713384954869626,0.3333333333333333
"The Ministry of Health announced the world's first total advertising ban of packaged drinks with very high sugar content and colour-coded labels indicating drinks as ""healthy"", ""neutral"" and ""unhealthy"" respectively. The labels are compulsory for ""unhealthy"" drinks, while optional for ""healthy"" ones. These measures will take effect from 2020, after a public consultation favouring these two measures out of four possible options.",3,LASER,0.790497270386871,0.7858175698358587,0.7300927066832225,0.3836784433720971,0.7012915059122967,0.40789271073729566,0.7967361850887088,0.49200803388677444,0.6949462155946864,0.35630076458220566,0.8023276134434669,0.7572146482066942,0.3333333333333333
"Dyson announced that it will not proceed with the electric car project after the project was found not to be ""commercially viable"". This comes a year after Dyson announced its intention to make these cars in Singapore by 2021.",0,Title,"(9679, 'en')","(26392, 'zh')","(506, 'ms')","(10993, 'ta')","(10926, 'ta')","(590, 'ms')","(17439, 'zh')","(10243, 'ta')","(65709, 'en')","(548, 'ms')","(18307, 'en')","(27727, 'zh')",p=0.097
"Dyson announced that it will not proceed with the electric car project after the project was found not to be ""commercially viable"". This comes a year after Dyson announced its intention to make these cars in Singapore by 2021.",1,BWE-Agg-Add,0.7887806142034146,0.5260749704055253,0.31834820045022044,0.5542443059056223,0.5267784513260046,0.3918444018595604,0.40174127905023654,0.5592466088581078,0.7389706812729476,0.26829703925425935,0.6527863084896522,0.384548977510522,0.5308748413236108
"Dyson announced that it will not proceed with the electric car project after the project was found not to be ""commercially viable"". This comes a year after Dyson announced its intention to make these cars in Singapore by 2021.",2,BWE-Agg-IDF,0.7694171787968822,0.5566118771647359,0.29453959249109635,0.549043305289083,0.5129070139733729,0.3322959679721222,0.38726228125788986,0.5454393147296687,0.7101014854016067,0.23673795519325114,0.6751720249074852,0.3574638006116331,0.23456257933819458
"Dyson announced that it will not proceed with the electric car project after the project was found not to be ""commercially viable"". This comes a year after Dyson announced its intention to make these cars in Singapore by 2021.",3,LASER,0.41241488733427073,0.7276269184375287,0.608146316990439,0.4717282024997932,0.24279116986646704,0.6738023742437944,0.6692579856694261,0.13883862150925042,0.744365386213134,0.6630687245556354,0.6914050103353673,0.5941150015121256,0.23456257933819458
"The Singapore River Bridges (Cavenagh Bridge, Anderson Bridge and Elgin Bridge) are collectively gazetted as a National Monument, in addition to a fund boost for conservation.",0,Title,"(61, 'ms')","(80369, 'en')","(38002, 'zh')","(2634, 'ta')","(4774, 'ta')","(41588, 'zh')","(3395, 'ta')","(540, 'ms')","(5052, 'zh')","(15748, 'en')","(76232, 'en')","(913, 'ms')",p=0.097
"The Singapore River Bridges (Cavenagh Bridge, Anderson Bridge and Elgin Bridge) are collectively gazetted as a National Monument, in addition to a fund boost for conservation.",1,BWE-Agg-Add,0.336080866010418,0.6093168589185713,0.3610670685318389,0.43897016976417547,0.46177581040880267,0.3838707009967003,0.4647207208601493,0.26648400522329124,0.34339732501090037,0.7685247451919673,0.24733146749310703,0.33852979136005706,0.23456257933819458
"The Singapore River Bridges (Cavenagh Bridge, Anderson Bridge and Elgin Bridge) are collectively gazetted as a National Monument, in addition to a fund boost for conservation.",2,BWE-Agg-IDF,0.3407859758615445,0.6562701130144764,0.42795623010297534,0.44060612153120393,0.472377402911224,0.41913128150937545,0.4719886413801402,0.28235616355800275,0.3717822442714902,0.784729338555934,0.24210353288286413,0.3394519469688566,0.23456257933819458
"The Singapore River Bridges (Cavenagh Bridge, Anderson Bridge and Elgin Bridge) are collectively gazetted as a National Monument, in addition to a fund boost for conservation.",3,LASER,0.7062979314617818,0.3706186750118935,0.6577427330576263,0.2182597624604395,0.17579658283486024,0.6817718522223811,0.1980712940050306,0.7268916658353181,0.655852792514083,0.6892386591795333,0.3902704885651599,0.7330790868518989,0.5308748413236108
